Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_2,1490.000063,0.009613,0.011204633,3637,5316.033333,12092,19647.73333,0.003,0.0044,0,20004,1,26,1,0,20004,1490.000063,0.012613,0.027076467,1,1,21494.00006,21494.00006,1,1,1,0,0,0,0,0.0003,0,0.011171833,0,0,0.0003,0,0.011171833,0,0,0,0,0,0,0,0,0,0,0
10_10,1559.99987,0.01551,,8502,,33175,,0.008,,0.001,20006,1,,0,1,20006,1559.99987,0.02451,,1,,21565.99987,21565.99987,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_1,1469.999966,0.010254,,5576,,20604,,0.005,,0,20005,0,,0,0,20005,1469.999947,0.068593,,1,,21474.99995,21474.99997,1,1,1,0,0,0,0,,0.053339,,1,0,,0.053339,,9,0,10,0,9,0,10,0,0.004,2,0.002
10_9,1599.99997,0.018892,,6267,,22910,,0.005,,0,20005,1,,0,1,20005,1599.99997,0.023892,,1,,21604.99997,21604.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_7,1630.000019,0.011687,,7726,,30623,,0.007,,0.001,20006,0,,0,0,20006,1630.000019,0.186875,,1,,21636.00002,21636.00002,1,1,1,0,0,0,0.001,,0.167188,,1,0.001,,0.167188,,0,0,2,0,0,0,2,0,0.011,6,0.001833
10_3,1479.999927,0.009941,,8299,,32731,,0.008,,0.001,20006,1,,1,0,20006,1479.999927,0.018941,,1,,21485.99993,21485.99993,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_5,1600.000101,0.009944,,8082,,31885,,0.007,,0.001,20006,1,,1,0,20006,1600.000101,0.017944,,1,,21606.0001,21606.0001,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_4,1630.000019,0.011477,,3532,,11767,,0.002,,0,30004,1,,1,0,30004,1630.000019,0.013477,,1,,31634.00002,31634.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_6,1479.999927,0.00995,,5398,,19929,,0.005,,0,20005,0,,0,0,20005,1479.999918,0.084282,,1,,21484.99992,21484.99993,1,1,1,0,0,0,0,,0.069332,,1,0,,0.069332,,10,1,6,0,10,1,6,0,0.006,4,0.0015
10_8,1470.000044,0.011263,,4896,,17638,,0.004,,0,20005,1,,0,1,20005,1470.000044,0.015263,,1,,21475.00004,21475.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_15,1520.000038,0.009513,,3459,,11455,,0.002,,0,20005,1,,1,0,20005,1520.000038,0.011513,,1,,21525.00004,21525.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_18,750,0.007012,,4896,,17638,,0.004,,0,20005,1,,1,0,20005,750,0.011012,,1,,20755,20755,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1469.999915,0.009099,,5811,,21317,,0.005,,0,20005,1,,0,1,20005,1469.999915,0.014099,,1,,21474.99992,21474.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_11,1600.000033,0.010693,,7726,,30623,,0.007,,0.001,20006,1,,1,0,20006,1600.000033,0.018693,,1,,21606.00003,21606.00003,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_14,1470.000015,0.020643,,3696,,12265,,0.002,,0,20004,1,,1,0,20004,1470.000015,0.022643,,1,,21474.00002,21474.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_19,1639.999995,0.017106,,5570,,20530,,0.005,,0,20005,1,,1,0,20005,1639.999995,0.022106,,1,,21645,21645,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_16,1600.000033,0.011581,,5654,,20962,,0.005,,0,20005,1,,1,0,20005,1600.000033,0.016581,,1,,21605.00003,21605.00003,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_12,1559.99987,0.008966,,4305,,14716,,0.003,,0,30004,0,,0,0,30004,1559.99987,0.057262,,1,,31563.99987,31563.99987,1,1,1,0,0,0,0,,0.045296,,1,0,,0.045296,,3,0,3,0,3,0,3,0,0.005,2,0.0025
10_17,1479.999951,0.01067,,8299,,32731,,0.008,,0.001,20006,1,,1,0,20006,1479.999951,0.01967,,1,,21485.99995,21485.99995,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_23,1560.000014,0.009875,,3291,,11100,,0.002,,0,20004,1,,1,0,20004,1560.000014,0.011875,,1,,21564.00001,21564.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_22,1520.000008,0.009552,,2525,,7776,,0.001,,0,20003,1,,1,0,20003,1520.000008,0.010552,,1,,21523.00001,21523.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_21,1479.999951,0.010903,,760,,1785,,0,,0,30003,1,,1,0,30003,1479.999951,0.010903,,1,,31482.99995,31482.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_20,1520.000008,0.00948,,5576,,20604,,0.005,,0,20005,1,,1,0,20005,1520.000008,0.01448,,1,,21525.00001,21525.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_26,1470.000044,0.011304,,3193,,10678,,0.002,,0,20004,1,,1,0,20004,1470.000044,0.013304,,1,,21474.00004,21474.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_25,1609.999961,0.01116,,7726,,30623,,0.007,,0.001,20006,1,,1,0,20006,1609.999961,0.01916,,1,,21615.99996,21615.99996,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_24,1470.000015,0.009174,,4896,,17638,,0.004,,0,20005,1,,1,0,20005,1470.000015,0.013174,,1,,21475.00002,21475.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_27,1529.999955,0.011988,,2473,,7549,,0.001,,0,30004,1,,1,0,30004,1529.999955,0.012988,,1,,31533.99996,31533.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_30,1569.999965,0.009614,,6120,,22336,,0.005,,0.001,30004,1,,1,0,30004,1569.999965,0.015614,,1,,31573.99997,31573.99997,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_29,1479.999906,0.009999,,3750,,12865,,0.003,,0,20004,1,,1,0,20004,1479.999906,0.012999,,1,,21483.99991,21483.99991,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_28,1560.000014,0.009276,,7840,,30887,,0.007,,0.001,20006,1,,0,1,20006,1560.000014,0.017276,,1,,21566.00001,21566.00001,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
