Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Tota.Cost,Avg.Cost,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_2,1599.99997,0.011097,0.0112687,1296,2742.233333,3567,9784.433333,0,0.002033333,0,20002,1,29,1,0,20002,1599.99997,21601.99997,36848.93332,0.011097,0.014869367,1,1,21601.99997,21601.99997,1,1,1,0,0,0,0,3.33E-05,0,0.001534,0,0,3.33E-05,0,0.001534,0,0,0,0,0,0,0,0,0,0,0
10_1,1559.99987,0.010883,,1966,,6156,,0.001,,0,30002,1,,1,0,30002,1559.99987,31561.99987,,0.011883,,1,,31561.99987,31561.99987,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_10,1630.000019,0.012431,,7652,,33210,,0.008,,0.001,40005,1,,1,0,40005,1630.000019,41635.00002,,0.021431,,1,,41635.00002,41635.00002,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_12,1519.999863,0.010826,,2512,,8626,,0.002,,0,40002,1,,1,0,40002,1519.999863,41521.99986,,0.012826,,1,,41521.99986,41521.99986,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_5,1479.999951,0.010291,,2712,,9535,,0.002,,0,40002,1,,0,1,40002,1479.999951,41481.99995,,0.012291,,1,,41481.99995,41481.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_9,1520.000008,0.009268,,1662,,5072,,0.001,,0,30002,1,,1,0,30002,1520.000008,31522.00001,,0.010268,,1,,31522.00001,31522.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,1469.999966,0.011422,,1934,,5826,,0.001,,0,20003,0,,0,0,20003,1469.999966,21472.99997,,0.058442,,1,,21472.99997,21472.99997,1,1,1,0,0,0,0,,0.04602,,1,0,,0.04602,,5,1,3,0,5,1,3,0,0.004,2,0.002
10_6,750.000036,0.008422,,2712,,9535,,0.002,,0,40002,1,,1,0,40002,750.000036,40752.00004,,0.010422,,1,,40752.00004,40752.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_3,1630.000019,0.020472,,3909,,14796,,0.003,,0,40003,1,,1,0,40003,1630.000019,41633.00002,,0.023472,,1,,41633.00002,41633.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,1479.999927,0.009539,,1662,,5072,,0.001,,0,30002,1,,1,0,30002,1479.999927,31481.99993,,0.010539,,1,,31481.99993,31481.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_7,1630.000019,0.011221,,1390,,4318,,0.001,,0,40001,1,,1,0,40001,1630.000019,41631.00002,,0.012221,,1,,41631.00002,41631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_4,1479.999951,0.01141,,1677,,4824,,0.001,,0,20002,1,,1,0,20002,1479.999951,21481.99995,,0.01241,,1,,21481.99995,21481.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1479.999927,0.008992,,4096,,15522,,0.003,,0,40003,1,,0,1,40003,1479.999927,41482.99993,,0.011992,,1,,41482.99993,41482.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_14,1529.999955,0.01217,,2823,,9602,,0.002,,0,30003,1,,1,0,30003,1529.999955,31532.99996,,0.01417,,1,,31532.99996,31532.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_18,1469.999966,0.010525,,2851,,10029,,0.002,,0,40002,1,,1,0,40002,1469.999966,41471.99997,,0.012525,,1,,41471.99997,41471.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_22,1559.999785,0.011056,,4186,,15958,,0.004,,0,40003,1,,0,1,40003,1559.999785,41562.99979,,0.015056,,1,,41562.99979,41562.99979,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_17,1479.999951,0.011111,,3909,,14796,,0.003,,0,40003,1,,1,0,40003,1479.999951,41482.99995,,0.014111,,1,,41482.99995,41482.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_20,1600.000101,0.009086,,2036,,6436,,0.001,,0,30002,1,,1,0,30002,1600.000101,31602.0001,,0.010086,,1,,31602.0001,31602.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_19,1599.99997,0.010854,,1896,,6072,,0.001,,0,40001,1,,1,0,40001,1599.99997,41600.99997,,0.011854,,1,,41600.99997,41600.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_15,1520.000038,0.011258,,2635,,9052,,0.003,,0,40002,1,,1,0,40002,1520.000038,41522.00004,,0.014258,,1,,41522.00004,41522.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
